epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1867.39,0.65847,1.0175,0.90755,0.99622,0.9986,0.99301,0.8727,0.54659,0.32161,0.88209,0.000205628,0.000205628,0.000205628
2,3518.58,0.59094,0.35371,0.88086,0.99614,0.9986,0.99326,0.87513,0.53232,0.27736,0.89252,0.000409863,0.000409863,0.000409863
3,5169.93,0.57173,0.33421,0.87901,0.99551,0.99803,0.99348,0.88293,0.52445,0.26594,0.89948,0.000609973,0.000609973,0.000609973
4,6841.85,0.55771,0.31879,0.8765,0.99465,0.99858,0.99337,0.88604,0.5053,0.26482,0.89582,0.000606437,0.000606437,0.000606437
5,8476.35,0.54229,0.30089,0.87203,0.99542,0.99838,0.99407,0.90159,0.48278,0.23577,0.88882,0.00060025,0.00060025,0.00060025
6,10111.6,0.52493,0.28222,0.86884,0.99617,0.9986,0.99387,0.89685,0.48332,0.21799,0.88832,0.000594062,0.000594062,0.000594062
7,11741.7,0.51683,0.27289,0.8632,0.99689,0.9986,0.99339,0.89737,0.47794,0.21693,0.88664,0.000587875,0.000587875,0.000587875
8,13382.4,0.4976,0.26635,0.85507,0.99682,0.9984,0.99373,0.90946,0.44176,0.19555,0.87635,0.000581687,0.000581687,0.000581687
9,15023.3,0.48229,0.25748,0.85674,0.99613,0.9986,0.99344,0.91166,0.43739,0.21065,0.8748,0.0005755,0.0005755,0.0005755
10,16664.1,0.46708,0.26208,0.84864,0.99618,0.99816,0.99445,0.91482,0.42363,0.20118,0.87238,0.000569313,0.000569313,0.000569313
11,18303.7,0.45249,0.25709,0.85218,0.996,0.99809,0.99359,0.91518,0.41492,0.20607,0.8695,0.000563125,0.000563125,0.000563125
12,19939.6,0.44466,0.25144,0.84769,0.99525,0.99562,0.99353,0.92513,0.39394,0.18998,0.86461,0.000556938,0.000556938,0.000556938
13,21584.3,0.42938,0.23775,0.84429,0.99664,0.9986,0.99365,0.929,0.37572,0.17697,0.86168,0.00055075,0.00055075,0.00055075
14,23218.9,0.42379,0.23415,0.84044,0.9965,0.99757,0.9934,0.92519,0.37653,0.18286,0.86228,0.000544563,0.000544563,0.000544563
15,24857.3,0.41331,0.23223,0.83994,0.99668,0.99853,0.99388,0.93599,0.35831,0.18434,0.8565,0.000538375,0.000538375,0.000538375
16,26502.2,0.41217,0.23279,0.83469,0.9967,0.99824,0.99432,0.93682,0.34545,0.16354,0.85615,0.000532187,0.000532187,0.000532187
17,28150.7,0.39375,0.2197,0.83645,0.99635,0.99748,0.99419,0.9391,0.35196,0.16703,0.85525,0.000526,0.000526,0.000526
18,29788.2,0.38581,0.22851,0.83348,0.99597,0.99787,0.99401,0.94412,0.33986,0.17029,0.85585,0.000519812,0.000519812,0.000519812
19,31457.3,0.38191,0.2232,0.83155,0.99481,0.99681,0.99449,0.94082,0.34425,0.18215,0.85286,0.000513625,0.000513625,0.000513625
20,33094.5,0.37784,0.21796,0.82961,0.99521,0.99807,0.99471,0.9408,0.32825,0.16028,0.84948,0.000507438,0.000507438,0.000507438
21,34736.5,0.37207,0.21526,0.83286,0.99554,0.99773,0.99414,0.94771,0.3217,0.16069,0.85173,0.00050125,0.00050125,0.00050125
22,36389,0.36627,0.20606,0.8283,0.99689,0.9986,0.99422,0.94595,0.32646,0.16513,0.84924,0.000495063,0.000495063,0.000495063
23,38063.7,0.36086,0.20028,0.82598,0.99611,0.99797,0.99475,0.94909,0.31162,0.15857,0.8455,0.000488875,0.000488875,0.000488875
24,39697.7,0.35157,0.19749,0.82365,0.99602,0.99839,0.99475,0.95033,0.3097,0.15017,0.84701,0.000482687,0.000482687,0.000482687
25,41377.5,0.35172,0.2104,0.82593,0.99466,0.9984,0.99442,0.95606,0.30535,0.16249,0.84624,0.0004765,0.0004765,0.0004765
26,43064.7,0.34317,0.21065,0.82226,0.99464,0.99743,0.99476,0.94741,0.30986,0.17068,0.84306,0.000470312,0.000470312,0.000470312
27,44752.4,0.34416,0.19879,0.82282,0.99596,0.99829,0.99477,0.95041,0.31882,0.15625,0.84516,0.000464125,0.000464125,0.000464125
28,46418.8,0.34123,0.19657,0.82046,0.99595,0.99753,0.99483,0.95622,0.28985,0.15093,0.84052,0.000457938,0.000457938,0.000457938
29,48091.3,0.33138,0.1847,0.81687,0.99436,0.99754,0.99454,0.95466,0.29271,0.15339,0.84234,0.00045175,0.00045175,0.00045175
30,49878,0.3227,0.19044,0.8211,0.99505,0.99807,0.99462,0.95712,0.29174,0.14276,0.84089,0.000445562,0.000445562,0.000445562
31,51573.9,0.32281,0.18232,0.81847,0.99663,0.9986,0.99445,0.95626,0.29503,0.14276,0.84076,0.000439375,0.000439375,0.000439375
32,53183,0.32183,0.18691,0.81785,0.99666,0.99831,0.99481,0.96119,0.2877,0.14906,0.83891,0.000433187,0.000433187,0.000433187
33,54895.3,0.31518,0.18117,0.81393,0.99627,0.99732,0.99476,0.95918,0.27969,0.1381,0.83947,0.000427,0.000427,0.000427
34,56596.5,0.313,0.17831,0.81292,0.99611,0.9986,0.9942,0.95552,0.28448,0.14454,0.83938,0.000420812,0.000420812,0.000420812
35,58301.2,0.31354,0.18322,0.81272,0.99649,0.9986,0.99457,0.96215,0.27259,0.1339,0.83754,0.000414625,0.000414625,0.000414625
36,60011.7,0.31046,0.18626,0.81714,0.99671,0.99841,0.99461,0.95904,0.27983,0.13639,0.84104,0.000408438,0.000408438,0.000408438
37,61715.8,0.31709,0.18915,0.81872,0.99659,0.99717,0.99491,0.96264,0.28124,0.13566,0.83658,0.00040225,0.00040225,0.00040225
38,63390.3,0.31124,0.1773,0.81535,0.99666,0.99652,0.99483,0.96004,0.27548,0.13963,0.83751,0.000396063,0.000396063,0.000396063
39,65091.4,0.30237,0.17808,0.81273,0.99663,0.99775,0.99488,0.9596,0.27333,0.13824,0.83337,0.000389875,0.000389875,0.000389875
40,66794.2,0.30264,0.18602,0.81451,0.99746,0.99889,0.99488,0.96006,0.27825,0.13978,0.83659,0.000383688,0.000383688,0.000383688
41,68455.5,0.29331,0.17126,0.80884,0.99659,0.9967,0.99436,0.9617,0.26696,0.14207,0.83968,0.0003775,0.0003775,0.0003775
42,70152.3,0.29572,0.17698,0.81336,0.99076,0.9833,0.99359,0.95692,0.26228,0.15539,0.83152,0.000371313,0.000371313,0.000371313
43,71865.7,0.29652,0.17789,0.81309,0.9903,0.98099,0.99277,0.95036,0.26809,0.16925,0.83568,0.000365125,0.000365125,0.000365125
44,73584,0.29391,0.17164,0.81099,0.99399,0.99807,0.99447,0.95981,0.26432,0.12934,0.835,0.000358938,0.000358938,0.000358938
45,75288.8,0.28608,0.16364,0.80617,0.9966,0.99731,0.99494,0.96433,0.25687,0.1313,0.83093,0.00035275,0.00035275,0.00035275
46,76927.3,0.28214,0.16458,0.80613,0.99476,0.99535,0.99453,0.96018,0.24884,0.13328,0.83479,0.000346563,0.000346563,0.000346563
47,78575.5,0.27316,0.15724,0.80575,0.99585,0.99627,0.99476,0.96131,0.25144,0.12788,0.83049,0.000340375,0.000340375,0.000340375
48,80232.6,0.28155,0.16254,0.81075,0.99677,0.99651,0.99492,0.96617,0.24859,0.11875,0.83339,0.000334188,0.000334188,0.000334188
49,81874.8,0.28204,0.16114,0.80995,0.9958,0.99671,0.99488,0.9619,0.24957,0.12392,0.83191,0.000328,0.000328,0.000328
50,83522.5,0.27209,0.1579,0.80751,0.99674,0.99749,0.9949,0.96346,0.24168,0.12268,0.83093,0.000321812,0.000321812,0.000321812
51,85167.9,0.27628,0.16835,0.80734,0.99654,0.9962,0.99497,0.96286,0.24555,0.12535,0.82991,0.000315625,0.000315625,0.000315625
52,86832.7,0.27673,0.16223,0.80821,0.99617,0.99703,0.99485,0.96412,0.24836,0.12212,0.83295,0.000309437,0.000309437,0.000309437
53,88480,0.27442,0.16076,0.80929,0.9971,0.99635,0.99498,0.96567,0.24964,0.12821,0.82836,0.00030325,0.00030325,0.00030325
54,90129.9,0.27283,0.15688,0.80515,0.99267,0.99491,0.99482,0.96188,0.24046,0.12893,0.83231,0.000297063,0.000297063,0.000297063
55,91780.1,0.26093,0.15391,0.80357,0.99654,0.9962,0.99492,0.96574,0.23725,0.11704,0.82824,0.000290875,0.000290875,0.000290875
56,93434.4,0.25839,0.15126,0.80563,0.99595,0.9963,0.99491,0.96531,0.23565,0.11894,0.82858,0.000284688,0.000284688,0.000284688
57,95089.5,0.26326,0.15366,0.80529,0.99566,0.99438,0.9944,0.96382,0.24248,0.12871,0.82852,0.0002785,0.0002785,0.0002785
58,96745.3,0.26103,0.15478,0.80688,0.99432,0.99429,0.99456,0.96309,0.24268,0.1227,0.83263,0.000272313,0.000272313,0.000272313
59,98392.3,0.26207,0.15137,0.80453,0.99424,0.99514,0.99492,0.96393,0.24005,0.12342,0.82661,0.000266125,0.000266125,0.000266125
60,100046,0.25238,0.14442,0.80228,0.99442,0.99509,0.99455,0.96507,0.23183,0.12568,0.82439,0.000259938,0.000259938,0.000259938
61,101700,0.25478,0.14411,0.80199,0.99649,0.99394,0.99493,0.96497,0.23284,0.11999,0.82607,0.00025375,0.00025375,0.00025375
62,103353,0.2483,0.14579,0.80091,0.99589,0.99274,0.99471,0.96494,0.22752,0.12312,0.82601,0.000247563,0.000247563,0.000247563
63,105006,0.24981,0.14594,0.80082,0.9971,0.9955,0.99475,0.96606,0.23245,0.12058,0.82922,0.000241375,0.000241375,0.000241375
64,106686,0.24411,0.14232,0.80192,0.9973,0.99541,0.99485,0.96678,0.23187,0.12289,0.82797,0.000235188,0.000235188,0.000235188
65,108364,0.25096,0.14088,0.80358,0.99716,0.99622,0.99493,0.96708,0.22802,0.1169,0.82839,0.000229,0.000229,0.000229
66,110025,0.24046,0.1406,0.80079,0.99442,0.98985,0.9944,0.9663,0.22466,0.12354,0.82757,0.000222813,0.000222813,0.000222813
67,111711,0.24473,0.14503,0.79973,0.99735,0.99619,0.99489,0.96789,0.22359,0.11782,0.82432,0.000216625,0.000216625,0.000216625
68,113377,0.24098,0.14142,0.79882,0.99721,0.99371,0.99468,0.9673,0.22091,0.11503,0.82365,0.000210437,0.000210437,0.000210437
69,115095,0.23757,0.13859,0.79944,0.99406,0.98802,0.99448,0.96646,0.222,0.1219,0.82436,0.00020425,0.00020425,0.00020425
70,116762,0.23308,0.13601,0.79769,0.99711,0.99638,0.99491,0.9693,0.22442,0.10952,0.82889,0.000198063,0.000198063,0.000198063
71,118439,0.22981,0.13579,0.79731,0.98997,0.98477,0.99303,0.96274,0.22141,0.133,0.82349,0.000191875,0.000191875,0.000191875
72,120089,0.23682,0.13687,0.79996,0.99596,0.99391,0.99496,0.96736,0.2215,0.11705,0.82536,0.000185688,0.000185688,0.000185688
73,121778,0.23004,0.13537,0.79758,0.99687,0.98951,0.99475,0.96879,0.21661,0.11396,0.82483,0.0001795,0.0001795,0.0001795
74,123466,0.22624,0.1326,0.79762,0.99331,0.99285,0.99477,0.96763,0.22091,0.11854,0.8294,0.000173313,0.000173313,0.000173313
75,125157,0.22727,0.13128,0.79833,0.98943,0.98614,0.99056,0.96257,0.21944,0.12896,0.82603,0.000167125,0.000167125,0.000167125
